clip_id,source_video_id,domain,split,duration_sec,clip_path,transcript
-_K3g6HyQOg_000233,-_K3g6HyQOg,mukb,train,4.8,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000233.mp4,"하여튼, 흔쾌히 또 같이 와준 동생이 있어가지고 오늘 예. 한잔"
-_K3g6HyQOg_000238,-_K3g6HyQOg,mukb,train,6.16,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000238.mp4,"와! 오랜만에 또 먹는 흑산돈데 야! 자, 뽈살"
-_K3g6HyQOg_000242,-_K3g6HyQOg,mukb,train,3.6,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000242.mp4,어우! 이거 막걸리가 담백하다. 안달고 오우! 좋다. 이거
-_K3g6HyQOg_000251,-_K3g6HyQOg,mukb,train,2.64,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000251.mp4,와! 확실히 찰지긴 찰지네.
-_K3g6HyQOg_000257,-_K3g6HyQOg,mukb,train,4.04,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000257.mp4,음 굉장히 찰집니다. 아유
-_K3g6HyQOg_000263,-_K3g6HyQOg,mukb,train,3.8,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000263.mp4,"자, 이번엔 뱃살, 뱃살입니다."
-_K3g6HyQOg_000270,-_K3g6HyQOg,mukb,train,4.28,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000270.mp4,"자, 요거는 이제 에 꼬리 옆에 달린 그 지느러미 있죠? 음"
-_K3g6HyQOg_000280,-_K3g6HyQOg,mukb,train,5.2,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000280.mp4,저 예전에 이거 젓갈먹고 되게 반했잖아요. 야! 이거 아가미젓. 와! 이거 너무 맛있는데요? 허허 아가미젓
-_K3g6HyQOg_000284,-_K3g6HyQOg,mukb,train,2.0,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000284.mp4,이거는 무조건입니다. 아가미젓. 와
-_K3g6HyQOg_000286,-_K3g6HyQOg,mukb,train,9.0,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000286.mp4,"저거 하나 사갈래요. 아가미젓 흐흐흐 자! 이번엔 자, 저는 애는 항상 생물로 먹어봤는데 여기선 이제 같이 숙성을 시킨 애에요. 음"
