id,domain,participants,len_sec,split
er5M9IK9jyo,issu,3,1624,train
kGW7tikzUNQ,issu,2,789,train
foHGym4mQR8,issu,2,681,train
nkELN0Af0e8,issu,3,164,train
RG5Kpfiw-Kw,issu,2,190,train
0fppXi4h5v8,issu,3,118,train
RBo3QndKgrE,issu,2,955,train
K10oVqHs5XU,issu,2,690,train
0e76Mv3YWso,scie,3,792,train
taF_S4MBkJw,scie,3,905,train
Ml2W6PvzCCM,scie,3,1340,train
HHNmbwo8kPg,scie,3,914,train
S8OsACnjTUY,scie,3,899,train
75AWLc2tQIQ,scie,3,763,train
zu1REHalroU,scie,3,926,train
54ULzusB3zU,scie,3,1042,train
wKX4xBrDRUk,inte,2,3134,train
1DKwTQ5yL6k,inte,2,603,train
pXeIM0Z39Po,inte,2,2557,train
mNKy_V09sa4,inte,2,1808,train
UHpFUNTQgqU,inte,2,3317,train
5KaQRHNZCN8,inte,2,3289,train
HjslMJflmHQ,inte,3,335,train
tL9j8iqAyGQ,inte,2,663,train
qDBBFRFB3-0,mukb,2,1663,train
ET54EeUHHig,mukb,2,277,train
p1lchVoSETE,mukb,3,508,train
-_K3g6HyQOg,mukb,3,1311,train
MhqIY-jQgKI,mukb,3,1036,train
OMJ9i30zBIw,mukb,3,566,train
AAAW5DgParc,mukb,2,692,train
5lX4UInJwBU,beau,2,750,train
h_oWNspfDU0,beau,2,168,train
qWHvbPCtMlM,beau,2,202,train
vhD5X6oeK8k,beau,2,610,train
