clip_id,source_video_id,domain,split,duration_sec,clip_path,transcript,dataset
-_K3g6HyQOg_000233,-_K3g6HyQOg,mukb,train,4.8,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000233.mp4,"하여튼, 흔쾌히 또 같이 와준 동생이 있어가지고 오늘 예. 한잔","KMSAV (interim, not OLKAVS)"
-_K3g6HyQOg_000257,-_K3g6HyQOg,mukb,train,4.04,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000257.mp4,음 굉장히 찰집니다. 아유,"KMSAV (interim, not OLKAVS)"
-_K3g6HyQOg_000284,-_K3g6HyQOg,mukb,train,2.0,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000284.mp4,이거는 무조건입니다. 아가미젓. 와,"KMSAV (interim, not OLKAVS)"
-_K3g6HyQOg_000286,-_K3g6HyQOg,mukb,train,9.0,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000286.mp4,"저거 하나 사갈래요. 아가미젓 흐흐흐 자! 이번엔 자, 저는 애는 항상 생물로 먹어봤는데 여기선 이제 같이 숙성을 시킨 애에요. 음","KMSAV (interim, not OLKAVS)"
-_K3g6HyQOg_000309,-_K3g6HyQOg,mukb,train,9.72,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000309.mp4,햐 근데 이게 고민이 되는게 여기 이 이상태에서 더 많이 삭혀서 먹으면 맛이 인제 매콤하면서 좋아요. 근데 홍어는 특성상 더 많이 삭히면 더 짜져요. 더,"KMSAV (interim, not OLKAVS)"
-_K3g6HyQOg_000312,-_K3g6HyQOg,mukb,train,4.36,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000312.mp4,그런 방법이 빨리 좀 개발이 되면 더 좋겠습니다. 음,"KMSAV (interim, not OLKAVS)"
-_K3g6HyQOg_000322,-_K3g6HyQOg,mukb,train,2.52,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000322.mp4,이거는 흑산도가 아니라 국산인거죠? 그냥 국내,"KMSAV (interim, not OLKAVS)"
-_K3g6HyQOg_000327,-_K3g6HyQOg,mukb,train,6.76,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000327.mp4,음 저도 홍어를 먹다보니까 요정도 인제 짬은 나오더라구요. 여기 결이나 살결이나 요런게 보니까 크기가 엄청 큰 홍어는 아니에요.,"KMSAV (interim, not OLKAVS)"
-_K3g6HyQOg_000335,-_K3g6HyQOg,mukb,train,3.72,kmsav_pilot/cropped/-_K3g6HyQOg/utts/000335.mp4,음 지금부터 슬슬슬 오기 시작한 거에요. 빡빡빡하며,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000006,0e76Mv3YWso,scie,train,8.04,kmsav_pilot/cropped/0e76Mv3YWso/utts/000006.mp4,너무 재밌어가지고 나 정신과 안할래. 기초의학 할래 해서 기억의 메커니즘을 연구하는 에릭 캔델 유명한 노벨상도 받았죠.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000007,0e76Mv3YWso,scie,train,7.4,kmsav_pilot/cropped/0e76Mv3YWso/utts/000007.mp4,근데 그 사람이 역시 미국 사람은 돈을 좋아해가지고 그걸 노벨상 받고 그러더니 갑자기 새 회사를 차려가지고 기업을 증명시키는,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000013,0e76Mv3YWso,scie,train,5.96,kmsav_pilot/cropped/0e76Mv3YWso/utts/000013.mp4,어느 걸 선택해서 간직하고 어떤 걸 없어야 할지 알면 얼마나 좋겠어요. 좀 불가능한거고,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000014,0e76Mv3YWso,scie,train,7.4,kmsav_pilot/cropped/0e76Mv3YWso/utts/000014.mp4,다만 옛날 기억들에 너무나 자꾸 자극이 되갖고 안되겠으면은 그런데 호르몬이 트랜스미터가 지나치게 예민해져 있기 때문에,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000015,0e76Mv3YWso,scie,train,6.84,kmsav_pilot/cropped/0e76Mv3YWso/utts/000015.mp4,정신과 중에 약이 그런거에요. 약을 써서 그런 걸 컴다운 시키면 그런것들을 많이 좋아질 수 있는게 정신과의사들이 사용하는 약물이 되는 거죠.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000039,0e76Mv3YWso,scie,train,3.12,kmsav_pilot/cropped/0e76Mv3YWso/utts/000039.mp4,퇴행성 질환 치고는 그래도 제일 나은 편인데,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000040,0e76Mv3YWso,scie,train,6.88,kmsav_pilot/cropped/0e76Mv3YWso/utts/000040.mp4,알츠하이머는 주로 아세틸콜린이 많이 들어서 그 약을 주면은 잠시는 좋아져요. 이만큼 좋아지고 나빠지는게 이렇게 나빠지자면은,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000041,0e76Mv3YWso,scie,train,3.6,kmsav_pilot/cropped/0e76Mv3YWso/utts/000041.mp4,약을 쓰면 요만큼 나빠지니까. 좀 낫긴 하지만은 여전히 나빠는 지죠.,"KMSAV (interim, not OLKAVS)"
0e76Mv3YWso_000042,0e76Mv3YWso,scie,train,4.84,kmsav_pilot/cropped/0e76Mv3YWso/utts/000042.mp4,그리고 아세틸콜린 이외에 여러가지가 또 문제가 되기 때문에 하나 가지고 치료가 안돼서 문젠데,"KMSAV (interim, not OLKAVS)"
